2023-05-09 06:50:33,127 INFO Starting...
2023-05-09 06:50:33,127 INFO Tickers: ['LLY']
2023-05-09 06:51:52,781 INFO 8_2: 0.004810975854726608
2023-05-09 06:51:52,781 INFO 9_2: 0.0036810493752762042
2023-05-09 06:51:52,781 INFO 10_2: 0.0032792977381382827
2023-05-09 06:51:52,781 INFO 1_3: 0.01681330601422201
2023-05-09 06:51:52,781 INFO 2_3: 0.014171789000040175
2023-05-09 06:51:52,781 INFO 3_3: 0.017536458961070266
2023-05-09 06:51:52,781 INFO 4_3: 0.017757422361496123
2023-05-09 06:51:52,781 INFO 5_3: 0.015110883451850066
2023-05-09 06:51:52,781 INFO 6_3: 0.013147322325338476
2023-05-09 06:51:52,781 INFO 7_3: 0.008959061508175646
2023-05-09 06:51:52,781 INFO 8_3: 0.006021252661604596
2023-05-09 06:51:52,781 INFO 9_3: 0.004173195130770158
2023-05-09 06:51:52,781 INFO 10_3: 0.004228435980876622
2023-05-09 06:51:52,781 INFO 1_5: 0.02240267566590334
2023-05-09 06:51:52,781 INFO 2_5: 0.02133803382748785
2023-05-09 06:51:52,781 INFO 3_5: 0.026560805110280826
2023-05-09 06:51:52,781 INFO 4_5: 0.027339198907235546
2023-05-09 06:51:52,781 INFO 5_5: 0.02501406130729983
2023-05-09 06:51:52,782 INFO 6_5: 0.01871660439516291
2023-05-09 06:51:52,782 INFO 7_5: 0.012494475914989353
2023-05-09 06:51:52,782 INFO 8_5: 0.007758828492226106
2023-05-09 06:51:52,782 INFO 9_5: 0.005755092202000723
2023-05-09 06:51:52,782 INFO 10_5: 0.005182596119079185
2023-05-09 06:51:52,782 INFO 1_10: 0.03339058294162549
2023-05-09 06:51:52,782 INFO 2_10: 0.033460889478124624
2023-05-09 06:51:52,782 INFO 3_10: 0.04119460849302961
2023-05-09 06:51:52,782 INFO 4_10: 0.041475834639026155
2023-05-09 06:51:52,782 INFO 5_10: 0.033847575428869875
2023-05-09 06:51:52,782 INFO 6_10: 0.029659314611707042
2023-05-09 06:51:52,782 INFO 7_10: 0.017260254710537947
2023-05-09 06:51:52,782 INFO 8_10: 0.011374593226467397
2023-05-09 06:51:52,782 INFO 9_10: 0.007879353983367482
2023-05-09 06:51:52,782 INFO 10_10: 0.006985456590735607
2023-05-09 06:51:52,782 INFO 1_20: 0.04527238760997951
2023-05-09 06:51:52,782 INFO 2_20: 0.04439857779920453
2023-05-09 06:51:52,782 INFO 3_20: 0.05107769876662247
2023-05-09 06:51:52,782 INFO 4_20: 0.05452774095054437
2023-05-09 06:51:52,782 INFO 5_20: 0.04454421276766703
2023-05-09 06:51:52,782 INFO 6_20: 0.03769936924992969
2023-05-09 06:51:52,782 INFO 7_20: 0.024200514242095537
2023-05-09 06:51:52,782 INFO 8_20: 0.0146790004419268
2023-05-09 06:51:52,782 INFO 9_20: 0.010696637338797155
2023-05-09 06:51:52,782 INFO 10_20: 0.009667148768631232
2023-05-09 06:51:52,782 INFO 1_30: 0.05288558113374312
2023-05-09 06:51:52,782 INFO 2_30: 0.051519625567474185
2023-05-09 06:51:52,782 INFO 3_30: 0.061558394600458
2023-05-09 06:51:52,782 INFO 4_30: 0.06414467076453337
2023-05-09 06:51:52,782 INFO 5_30: 0.05247378570567675
2023-05-09 06:51:52,782 INFO 6_30: 0.04338415491543128
2023-05-09 06:51:52,782 INFO 7_30: 0.02741954923466313
2023-05-09 06:51:52,782 INFO 8_30: 0.017395845888071994
2023-05-09 06:51:52,782 INFO 9_30: 0.013132256638945804
2023-05-09 06:51:52,782 INFO 10_30: 0.011344461853682054
2023-05-09 06:51:52,791 INFO Non empty regressions: 0.4786167691133341 --- 95306 / 199128
