2023-05-09 07:29:02,884 INFO Starting...
2023-05-09 07:29:02,884 INFO Tickers: ['ISRG']
2023-05-09 07:30:17,722 INFO 5_5: 0.007807279760858097
2023-05-09 07:30:17,722 INFO 6_5: 0.0059031877213695395
2023-05-09 07:30:17,722 INFO 7_5: 0.005857971815418624
2023-05-09 07:30:17,722 INFO 8_5: 0.004184983295234746
2023-05-09 07:30:17,722 INFO 9_5: 0.004591926448792987
2023-05-09 07:30:17,722 INFO 10_5: 0.0057524680348664875
2023-05-09 07:30:17,722 INFO 1_10: 0.11527041623753423
2023-05-09 07:30:17,722 INFO 2_10: 0.03802155291516993
2023-05-09 07:30:17,722 INFO 3_10: 0.021949810344394485
2023-05-09 07:30:17,722 INFO 4_10: 0.01571503931271823
2023-05-09 07:30:17,722 INFO 5_10: 0.011233640634027481
2023-05-09 07:30:17,722 INFO 6_10: 0.008761837775377427
2023-05-09 07:30:17,722 INFO 7_10: 0.006847697756788666
2023-05-09 07:30:17,722 INFO 8_10: 0.006345298801778493
2023-05-09 07:30:17,722 INFO 9_10: 0.005501268557361401
2023-05-09 07:30:17,722 INFO 10_10: 0.008354894621819186
2023-05-09 07:30:17,722 INFO 1_20: 0.15000125599738753
2023-05-09 07:30:17,722 INFO 2_20: 0.04797910020347158
2023-05-09 07:30:17,722 INFO 3_20: 0.026607048657338792
2023-05-09 07:30:17,722 INFO 4_20: 0.019759350900550126
2023-05-09 07:30:17,722 INFO 5_20: 0.014705217413147781
2023-05-09 07:30:17,722 INFO 6_20: 0.011550151975683891
2023-05-09 07:30:17,722 INFO 7_20: 0.008636238036624885
2023-05-09 07:30:17,722 INFO 8_20: 0.007998191363761963
2023-05-09 07:30:17,722 INFO 9_20: 0.007189329046195584
2023-05-09 07:30:17,722 INFO 10_20: 0.00998769122560225
2023-05-09 07:30:17,722 INFO 1_30: 0.16910748825642444
2023-05-09 07:30:17,722 INFO 2_30: 0.05575623602702907
2023-05-09 07:30:17,722 INFO 3_30: 0.03277148383531362
2023-05-09 07:30:17,722 INFO 4_30: 0.023160591825969003
2023-05-09 07:30:17,722 INFO 5_30: 0.017578939435805973
2023-05-09 07:30:17,722 INFO 6_30: 0.01429827425958954
2023-05-09 07:30:17,722 INFO 7_30: 0.010781481574518324
2023-05-09 07:30:17,722 INFO 8_30: 0.00914868497073526
2023-05-09 07:30:17,722 INFO 9_30: 0.007350096711798839
2023-05-09 07:30:17,723 INFO 10_30: 0.010178602828506116
2023-05-09 07:30:17,730 INFO Non empty regressions: 0.4366449797784421 --- 86912 / 199045
