2023-05-09 13:30:42,602 INFO Starting...
2023-05-09 13:30:42,602 INFO Tickers: ['UNH']
2023-05-09 13:32:17,942 INFO used_ofi_cancel_8_1: 0.002074042826724519 , std 0.04549440815174356 
2023-05-09 13:32:17,942 INFO used_ofi_cancel_9_1: 0.002445663091077096 , std 0.04939313538460623 
2023-05-09 13:32:17,942 INFO used_ofi_cancel_10_1: 0.0022297215861154635 , std 0.04716725482539634 
2023-05-09 13:32:17,942 INFO used_ofi_trade_1_1: 2.5109477321120085e-05 , std 0.005010872861614906 
2023-05-09 13:32:17,942 INFO used_ofi_trade_2_1: 6.528464103491221e-05 , std 0.008079627401715823 
2023-05-09 13:32:17,942 INFO used_ofi_trade_3_1: 9.03941183560323e-05 , std 0.009507152426431319 
2023-05-09 13:32:17,942 INFO used_ofi_trade_4_1: 8.035032742758427e-05 , std 0.008963474284699353 
2023-05-09 13:32:17,942 INFO used_ofi_trade_5_1: 0.00016572255031939255 , std 0.012872260343688989 
2023-05-09 13:32:17,942 INFO used_ofi_trade_6_1: 0.00014061307299827246 , std 0.01185720460150598 
2023-05-09 13:32:17,942 INFO used_ofi_trade_7_1: 0.00011550359567715239 , std 0.010746639223335732 
