2023-05-09 14:46:10,021 INFO Starting...
2023-05-09 14:46:10,021 INFO Tickers: ['AMT']
2023-05-09 14:47:44,142 INFO ofi_add_10_30: -1.719008748713454e-07 , std 4.023756524057025e-06 
2023-05-09 14:47:44,142 INFO ofi_cancel_1_30: -8.157009514369048e-08 , std 2.7347201614559134e-06 
2023-05-09 14:47:44,142 INFO ofi_cancel_2_30: -1.23509705938043e-07 , std 3.257796150922432e-06 
2023-05-09 14:47:44,142 INFO ofi_cancel_3_30: -1.3088088347808662e-07 , std 3.4308392522962323e-06 
2023-05-09 14:47:44,142 INFO ofi_cancel_4_30: -9.891113748067786e-08 , std 3.2157121392398993e-06 
2023-05-09 14:47:44,142 INFO ofi_cancel_5_30: -9.137840017817183e-08 , std 2.7082514045756325e-06 
2023-05-09 14:47:44,143 INFO ofi_cancel_6_30: -8.17884571033694e-08 , std 2.784133008429738e-06 
2023-05-09 14:47:44,143 INFO ofi_cancel_7_30: -7.146946584373884e-08 , std 2.619653127837567e-06 
2023-05-09 14:47:44,143 INFO ofi_cancel_8_30: -6.266113816466104e-08 , std 2.3609012314582614e-06 
2023-05-09 14:47:44,143 INFO ofi_cancel_9_30: -8.51159149680265e-08 , std 3.148656484685017e-06 
2023-05-09 14:47:44,143 INFO ofi_cancel_10_30: -9.313063910891327e-08 , std 2.831857603607746e-06 
2023-05-09 14:47:44,143 INFO ofi_trade_1_30: -1.0586876322689269e-08 , std 1.0612684701652878e-06 
2023-05-09 14:47:44,143 INFO ofi_trade_2_30: -8.64251067938765e-09 , std 8.217965484413879e-07 
2023-05-09 14:47:44,143 INFO ofi_trade_3_30: -1.8358607014976525e-08 , std 1.3142886375396051e-06 
2023-05-09 14:47:44,143 INFO ofi_trade_4_30: -2.0591972007997716e-08 , std 1.518665731285067e-06 
2023-05-09 14:47:44,143 INFO ofi_trade_5_30: -2.097816645394917e-08 , std 1.4375378931452377e-06 
2023-05-09 14:47:44,143 INFO ofi_trade_6_30: -1.7048373653075016e-08 , std 1.3326271554155498e-06 
2023-05-09 14:47:44,143 INFO ofi_trade_7_30: -1.1380019947260359e-08 , std 1.0978570377775112e-06 
2023-05-09 14:47:44,143 INFO ofi_trade_8_30: -1.1981972775704953e-08 , std 1.0854147980065375e-06 
2023-05-09 14:47:44,143 INFO ofi_trade_9_30: -1.537593179651848e-08 , std 1.362521234694132e-06 
2023-05-09 14:47:44,143 INFO ofi_trade_10_30: -1.0020774058954641e-08 , std 1.0627083741632615e-06 
2023-05-09 14:47:44,143 INFO used_intercept: 0.9868978747338395 , std 0.11371217867788086 
2023-05-09 14:47:44,143 INFO used_ofi_add_1_1: 0.0028725242055361376 , std 0.05351890142953932 
2023-05-09 14:47:44,143 INFO used_ofi_add_2_1: 0.005966011811498132 , std 0.07700921058265171 
2023-05-09 14:47:44,143 INFO used_ofi_add_3_1: 0.005418625205897714 , std 0.07341160471462074 
2023-05-09 14:47:44,143 INFO used_ofi_add_4_1: 0.005755092202000723 , std 0.07564371167352375 
2023-05-09 14:47:44,143 INFO used_ofi_add_5_1: 0.005162508537222289 , std 0.07166489407530995 
2023-05-09 14:47:44,143 INFO used_ofi_add_6_1: 0.004343939576553774 , std 0.06576526260503356 
2023-05-09 14:47:44,143 INFO used_ofi_add_7_1: 0.004057691535093006 , std 0.06357064318141699 
2023-05-09 14:47:44,143 INFO used_ofi_add_8_1: 0.003389779438351211 , std 0.058123049074446737 
2023-05-09 14:47:44,143 INFO used_ofi_add_9_1: 0.003490217347635692 , std 0.05897487372179745 
2023-05-09 14:47:44,143 INFO used_ofi_add_10_1: 0.004770800691012816 , std 0.0689060240601607 
2023-05-09 14:47:44,143 INFO used_ofi_cancel_1_1: 0.000883853601703427 , std 0.029716534194185282 
2023-05-09 14:47:44,143 INFO used_ofi_cancel_2_1: 0.0018229480535133181 , std 0.0426570617120719 
2023-05-09 14:47:44,143 INFO used_ofi_cancel_3_1: 0.002084086617652967 , std 0.0456042015676526 
2023-05-09 14:47:44,143 INFO used_ofi_cancel_4_1: 0.0019284078582620225 , std 0.04387127877546101 
2023-05-09 14:47:44,143 INFO used_ofi_cancel_5_1: 0.0018982764854766783 , std 0.043527842030835436 
2023-05-09 14:47:44,143 INFO used_ofi_cancel_6_1: 0.001466393475553413 , std 0.03826543042653861 
2023-05-09 14:47:44,143 INFO used_ofi_cancel_7_1: 0.001506568639267205 , std 0.03878529218920983 
2023-05-09 14:47:44,143 INFO used_ofi_cancel_8_1: 0.0012705395524486762 , std 0.035621977509598474 
2023-05-09 14:47:44,143 INFO used_ofi_cancel_9_1: 0.0019535173355831425 , std 0.044155419889326385 
2023-05-09 14:47:44,143 INFO used_ofi_cancel_10_1: 0.003078421919569322 , std 0.05539806168138409 
2023-05-09 14:47:44,143 INFO used_ofi_trade_1_1: 0.00026113856413964885 , std 0.016157672195894052 
2023-05-09 14:47:44,143 INFO used_ofi_trade_2_1: 0.00025109477321120084 , std 0.015843980706440754 
2023-05-09 14:47:44,143 INFO used_ofi_trade_3_1: 0.00016070065485516855 , std 0.01267575757715087 
2023-05-09 14:47:44,143 INFO used_ofi_trade_4_1: 0.00017576634124784058 , std 0.013256524712047461 
2023-05-09 14:47:44,143 INFO used_ofi_trade_5_1: 0.00012554738660560042 , std 0.011204089630992642 
2023-05-09 14:47:44,143 INFO used_ofi_trade_6_1: 0.00017576634124784058 , std 0.013256524712047456 
2023-05-09 14:47:44,143 INFO used_ofi_trade_7_1: 0.0001807882367120646 , std 0.013444536151371344 
2023-05-09 14:47:44,143 INFO used_ofi_trade_8_1: 0.00010545980474870436 , std 0.010268820914705188 
