2023-05-09 13:45:50,578 INFO Starting...
2023-05-09 13:45:50,578 INFO Tickers: ['KO']
2023-05-09 13:47:12,659 INFO used_ofi_add_3_1: 0.0027324874677275147 , std 0.052201733495797126 
2023-05-09 13:47:12,659 INFO used_ofi_add_4_1: 0.008182393538470811 , std 0.09008574789861269 
2023-05-09 13:47:12,659 INFO used_ofi_add_5_1: 0.0014817716966537074 , std 0.03846525769174962 
2023-05-09 13:47:12,659 INFO used_ofi_add_6_1: 0.0006981907316436113 , std 0.026414073168405102 
2023-05-09 13:47:12,659 INFO used_ofi_add_7_1: 0.00023105592557990013 , std 0.015198767671727682 
2023-05-09 13:47:12,659 INFO used_ofi_add_8_1: 0.00035160684327376106 , std 0.01874788563815995 
2023-05-09 13:47:12,659 INFO used_ofi_add_9_1: 0.0003264920687542067 , std 0.018066141582619332 
2023-05-09 13:47:12,659 INFO used_ofi_add_10_1: 0.00030137729423465235 , std 0.017357605421289314 
2023-05-09 13:47:12,659 INFO used_ofi_cancel_1_1: 0.003917904825050481 , std 0.06247043178042174 
2023-05-09 13:47:12,659 INFO used_ofi_cancel_2_1: 0.0009392925670313332 , std 0.0306334832577827 
2023-05-09 13:47:12,659 INFO used_ofi_cancel_3_1: 0.0019840671870447945 , std 0.044498659130833215 
2023-05-09 13:47:12,659 INFO used_ofi_cancel_4_1: 0.004867243301889636 , std 0.06959564098799469 
2023-05-09 13:47:12,659 INFO used_ofi_cancel_5_1: 0.00035160684327376106 , std 0.01874788563815995 
2023-05-09 13:47:12,659 INFO used_ofi_cancel_6_1: 0.00017078046673296967 , std 0.013067184117672492 
2023-05-09 13:47:12,659 INFO used_ofi_cancel_7_1: 4.018363923128698e-05 , std 0.006338929287066163 
2023-05-09 13:47:12,659 INFO used_ofi_cancel_8_1: 2.5114774519554365e-05 , std 0.005011401377624345 
2023-05-09 13:47:12,659 INFO used_ofi_cancel_9_1: 0.00012055091769386094 , std 0.01097890637404765 
2023-05-09 13:47:12,659 INFO used_ofi_cancel_10_1: 2.009181961564349e-05 , std 0.004482344914710158 
2023-05-09 13:47:12,659 INFO used_ofi_trade_1_1: 5.0229549039108726e-06 , std 0.002241189343593018 
2023-05-09 13:47:12,659 INFO used_ofi_trade_2_1: 0.00015571160202123706 , std 0.012477473939793786 
2023-05-09 13:47:12,659 INFO used_ofi_trade_3_1: 0.0003867675276011372 , std 0.019662602535797 
2023-05-09 13:47:12,659 INFO used_ofi_trade_4_1: 0.0005826627688536613 , std 0.024131375280979177 
2023-05-09 13:47:12,659 INFO used_ofi_trade_5_1: 0.00013561978240559356 , std 0.011644800972116861 
2023-05-09 13:47:12,659 INFO used_ofi_trade_6_1: 6.027545884693047e-05 , std 0.007763493138786898 
