2023-05-09 13:23:15,713 INFO Starting...
2023-05-09 13:23:15,713 INFO Tickers: ['V']
2023-05-09 13:24:48,226 INFO ofi_trade_1_30: -3.600501264722126e-10 , std 1.1779119664055885e-07 
2023-05-09 13:24:48,226 INFO ofi_trade_2_30: -5.127265768736657e-09 , std 9.912764211773082e-07 
2023-05-09 13:24:48,226 INFO ofi_trade_3_30: -1.9566195883045437e-08 , std 1.2594851540992006e-06 
2023-05-09 13:24:48,226 INFO ofi_trade_4_30: -2.8372076818992916e-08 , std 1.3705255813895297e-06 
2023-05-09 13:24:48,226 INFO ofi_trade_5_30: -3.812205749334878e-08 , std 1.7933125290555752e-06 
2023-05-09 13:24:48,226 INFO ofi_trade_6_30: -4.428416400303278e-08 , std 2.5779982620767636e-06 
2023-05-09 13:24:48,226 INFO ofi_trade_7_30: -2.8455187496346883e-08 , std 1.5577778723906166e-06 
2023-05-09 13:24:48,226 INFO ofi_trade_8_30: -1.3226140991417334e-08 , std 9.516332490496157e-07 
2023-05-09 13:24:48,226 INFO ofi_trade_9_30: -1.2678860392199008e-08 , std 1.2696011388705224e-06 
2023-05-09 13:24:48,226 INFO ofi_trade_10_30: -6.1496282901015195e-09 , std 6.18798059332537e-07 
2023-05-09 13:24:48,226 INFO used_intercept: 0.9857378168816038 , std 0.11856969786203196 
2023-05-09 13:24:48,226 INFO used_ofi_add_1_1: 0.006945281427021815 , std 0.0830484466617003 
2023-05-09 13:24:48,226 INFO used_ofi_add_2_1: 0.003851793821059821 , std 0.061943179652160785 
2023-05-09 13:24:48,226 INFO used_ofi_add_3_1: 0.0028725242055361376 , std 0.053518901429539315 
2023-05-09 13:24:48,227 INFO used_ofi_add_4_1: 0.0035203487204210357 , std 0.05922799899800485 
2023-05-09 13:24:48,227 INFO used_ofi_add_5_1: 0.0046603189907998875 , std 0.06810727140110576 
2023-05-09 13:24:48,227 INFO used_ofi_add_6_1: 0.005343296773934354 , std 0.0729023041715419 
2023-05-09 13:24:48,227 INFO used_ofi_add_7_1: 0.0052579245510425456 , std 0.07232066634412386 
2023-05-09 13:24:48,227 INFO used_ofi_add_8_1: 0.003927122253023181 , std 0.06254358451378518 
2023-05-09 13:24:48,227 INFO used_ofi_add_9_1: 0.0034450202884576753 , std 0.05859310645178144 
2023-05-09 13:24:48,227 INFO used_ofi_add_10_1: 0.003665983688883532 , std 0.060436282583199746 
2023-05-09 13:24:48,227 INFO used_ofi_cancel_1_1: 0.0007583062150978265 , std 0.027526917495098693 
2023-05-09 13:24:48,227 INFO used_ofi_cancel_2_1: 0.0013960869390542766 , std 0.037338155823672906 
2023-05-09 13:24:48,227 INFO used_ofi_cancel_3_1: 0.0017425977260857339 , std 0.04170804573761249 
2023-05-09 13:24:48,227 INFO used_ofi_cancel_4_1: 0.002470772568398216 , std 0.04964542125225112 
2023-05-09 13:24:48,227 INFO used_ofi_cancel_5_1: 0.0028323490418223456 , std 0.05314439613663547 
2023-05-09 13:24:48,227 INFO used_ofi_cancel_6_1: 0.0031788598288538025 , std 0.05629169280668597 
2023-05-09 13:24:48,227 INFO used_ofi_cancel_7_1: 0.002335181390864168 , std 0.04826725928345145 
2023-05-09 13:24:48,227 INFO used_ofi_cancel_8_1: 0.0017275320396930617 , std 0.04152767357732545 
2023-05-09 13:24:48,227 INFO used_ofi_cancel_9_1: 0.0017576634124784058 , std 0.04188763578679085 
2023-05-09 13:24:48,227 INFO used_ofi_cancel_10_1: 0.001827969948977542 , std 0.04271567013220298 
2023-05-09 13:24:48,227 INFO used_ofi_trade_1_1: 0.0 , std 0.0 
2023-05-09 13:24:48,227 INFO used_ofi_trade_2_1: 9.03941183560323e-05 , std 0.009507152426431326 
2023-05-09 13:24:48,227 INFO used_ofi_trade_3_1: 0.00012554738660560042 , std 0.011204089630992642 
2023-05-09 13:24:48,227 INFO used_ofi_trade_4_1: 0.00023100719135430478 , std 0.015197165098525686 
2023-05-09 13:24:48,227 INFO used_ofi_trade_5_1: 0.0003264232051745611 , std 0.01806423685256825 
2023-05-09 13:24:48,227 INFO used_ofi_trade_6_1: 0.00047205817363705756 , std 0.02172177098483823 
2023-05-09 13:24:48,227 INFO used_ofi_trade_7_1: 0.00034148889156723316 , std 0.01847626252530985 
2023-05-09 13:24:48,227 INFO used_ofi_trade_8_1: 0.00012554738660560042 , std 0.011204089630992642 
