2023-05-09 15:21:15,908 INFO Starting...
2023-05-09 15:21:15,908 INFO Tickers: ['ISRG']
2023-05-09 15:22:54,380 INFO ofi_cancel_8_30: -3.7709342757217696e-08 , std 1.5764212614381318e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_9_30: -3.8697408938082395e-08 , std 1.4382915744113287e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_10_30: -5.429443558265759e-08 , std 1.7568099099903807e-06 
2023-05-09 15:22:54,380 INFO ofi_trade_1_30: -4.2464834236743135e-09 , std 8.467541558302392e-07 
2023-05-09 15:22:54,380 INFO ofi_trade_2_30: -3.1124178135072754e-09 , std 9.74247894308647e-07 
2023-05-09 15:22:54,380 INFO ofi_trade_3_30: -1.4807007686777859e-09 , std 1.731138259324799e-07 
2023-05-09 15:22:54,380 INFO ofi_trade_4_30: 1.1184632698706196e-09 , std 4.0208223446469203e-07 
2023-05-09 15:22:54,380 INFO ofi_trade_5_30: -1.0630852463076803e-10 , std 3.57909592559189e-08 
2023-05-09 15:22:54,380 INFO ofi_trade_6_30: -1.102878245224462e-09 , std 3.555374218186016e-07 
2023-05-09 15:22:54,380 INFO ofi_trade_7_30: -1.9532415140844153e-09 , std 2.416829825285982e-07 
2023-05-09 15:22:54,381 INFO ofi_trade_8_30: -4.1825040752798324e-10 , std 3.073383906800879e-07 
2023-05-09 15:22:54,381 INFO ofi_trade_9_30: -1.953911948850803e-09 , std 3.980952563772842e-07 
2023-05-09 15:22:54,381 INFO ofi_trade_10_30: -2.9356508291153556e-09 , std 4.4924519941537165e-07 
2023-05-09 15:22:54,381 INFO used_intercept: 0.9891029666658293 , std 0.10381853398447043 
2023-05-09 15:22:54,381 INFO used_ofi_add_1_1: 0.005526388505111909 , std 0.0741339836728236 
2023-05-09 15:22:54,381 INFO used_ofi_add_2_1: 0.004858197894948378 , std 0.06953125777779301 
2023-05-09 15:22:54,381 INFO used_ofi_add_3_1: 0.004541686553291969 , std 0.06723882536558484 
2023-05-09 15:22:54,381 INFO used_ofi_add_4_1: 0.003230425280715416 , std 0.05674495249113467 
2023-05-09 15:22:54,381 INFO used_ofi_add_5_1: 0.0031098495315129743 , std 0.0556792453918363 
2023-05-09 15:22:54,381 INFO used_ofi_add_6_1: 0.0024768268482001556 , std 0.0497060577491737 
2023-05-09 15:22:54,381 INFO used_ofi_add_7_1: 0.0027531462734557513 , std 0.05239815320269129 
2023-05-09 15:22:54,381 INFO used_ofi_add_8_1: 0.003004345750960838 , std 0.0547295135879127 
2023-05-09 15:22:54,381 INFO used_ofi_add_9_1: 0.0032404732598156198 , std 0.056832847833520016 
2023-05-09 15:22:54,381 INFO used_ofi_add_10_1: 0.005049109497852244 , std 0.07087747167563854 
2023-05-09 15:22:54,381 INFO used_ofi_cancel_1_1: 0.0006581426310633274 , std 0.025645847214325057 
2023-05-09 15:22:54,381 INFO used_ofi_cancel_2_1: 0.0012861413248260443 , std 0.035839742818812456 
2023-05-09 15:22:54,381 INFO used_ofi_cancel_3_1: 0.0012559973875254339 , std 0.035417790135579656 
2023-05-09 15:22:54,381 INFO used_ofi_cancel_4_1: 0.0013715491471777738 , std 0.03700902592766594 
2023-05-09 15:22:54,381 INFO used_ofi_cancel_5_1: 0.0012409254188751287 , std 0.0352049076547563 
2023-05-09 15:22:54,381 INFO used_ofi_cancel_6_1: 0.0014167650531286896 , std 0.037613266674312175 
2023-05-09 15:22:54,381 INFO used_ofi_cancel_7_1: 0.001728252405234997 , std 0.041536316024158866 
2023-05-09 15:22:54,381 INFO used_ofi_cancel_8_1: 0.0015725087291818434 , std 0.0396236791007409 
2023-05-09 15:22:54,381 INFO used_ofi_cancel_9_1: 0.0020196437991408978 , std 0.04489504246646271 
2023-05-09 15:22:54,381 INFO used_ofi_cancel_10_1: 0.003230425280715416 , std 0.056744952491134676 
2023-05-09 15:22:54,381 INFO used_ofi_trade_1_1: 7.535984325152604e-05 , std 0.008680677631703134 
2023-05-09 15:22:54,381 INFO used_ofi_trade_2_1: 9.043181190183125e-05 , std 0.009509134239731154 
2023-05-09 15:22:54,381 INFO used_ofi_trade_3_1: 3.0143937300610413e-05 , std 0.005490266718808334 
2023-05-09 15:22:54,381 INFO used_ofi_trade_4_1: 2.511994775050868e-05 , std 0.005011917471261241 
2023-05-09 15:22:54,381 INFO used_ofi_trade_5_1: 5.0239895501017355e-06 , std 0.0022414201546409663 
2023-05-09 15:22:54,381 INFO used_ofi_trade_6_1: 1.0047979100203471e-05 , std 0.0031698388189810973 
2023-05-09 15:22:54,381 INFO used_ofi_trade_7_1: 5.0239895501017355e-06 , std 0.0022414201546409663 
