2023-05-09 14:02:04,111 INFO Starting...
2023-05-09 14:02:04,111 INFO Tickers: ['BMY']
2023-05-09 14:03:33,511 INFO used_intercept: 0.9878520348720421 , std 0.10954630103845503 
2023-05-09 14:03:33,511 INFO used_ofi_add_1_1: 0.021594150496163273 , std 0.1453541989779185 
2023-05-09 14:03:33,511 INFO used_ofi_add_2_1: 0.006623880117311478 , std 0.08111722584940244 
2023-05-09 14:03:33,511 INFO used_ofi_add_3_1: 0.0037965529709533567 , std 0.06149909882666657 
2023-05-09 14:03:33,511 INFO used_ofi_add_4_1: 0.003902012775702061 , std 0.06234410214286768 
2023-05-09 14:03:33,511 INFO used_ofi_add_5_1: 0.0031537503515326826 , std 0.05606963715107215 
2023-05-09 14:03:33,511 INFO used_ofi_add_6_1: 0.0025862761640753685 , std 0.050789638113285525 
2023-05-09 14:03:33,511 INFO used_ofi_add_7_1: 0.0020489333494033988 , std 0.04521874856221811 
2023-05-09 14:03:33,511 INFO used_ofi_add_8_1: 0.0014011088345185006 , std 0.03740515644336131 
2023-05-09 14:03:33,511 INFO used_ofi_add_9_1: 0.0015266562211241012 , std 0.03904261187352358 
2023-05-09 14:03:33,511 INFO used_ofi_add_10_1: 0.002390422240970632 , std 0.04883347338128331 
2023-05-09 14:03:33,511 INFO used_ofi_cancel_1_1: 0.0023602908681852877 , std 0.04852545615656642 
2023-05-09 14:03:33,511 INFO used_ofi_cancel_2_1: 0.0021292836768309832 , std 0.04609500870869389 
2023-05-09 14:03:33,511 INFO used_ofi_cancel_3_1: 0.0019987143947611586 , std 0.044662283142819004 
2023-05-09 14:03:33,511 INFO used_ofi_cancel_4_1: 0.0016120284440159093 , std 0.040117699439419424 
2023-05-09 14:03:33,511 INFO used_ofi_cancel_5_1: 0.0011098388975935077 , std 0.03329575281045461 
2023-05-09 14:03:33,511 INFO used_ofi_cancel_6_1: 0.0008888754971676509 , std 0.029800761693590753 
2023-05-09 14:03:33,511 INFO used_ofi_cancel_7_1: 0.0006227150375637781 , std 0.02494648800023302 
2023-05-09 14:03:33,511 INFO used_ofi_cancel_8_1: 0.0003264232051745611 , std 0.018064236852568246 
2023-05-09 14:03:33,511 INFO used_ofi_cancel_9_1: 0.0005323209192077458 , std 0.0230659392535123 
2023-05-09 14:03:33,511 INFO used_ofi_cancel_10_1: 0.0006628902012775702 , std 0.02573811915930573 
2023-05-09 14:03:33,511 INFO used_ofi_trade_1_1: 5.021895464224017e-05 , std 0.007086355388973576 
2023-05-09 14:03:33,511 INFO used_ofi_trade_2_1: 0.0002762042505323209 , std 0.016617098475495324 
2023-05-09 14:03:33,511 INFO used_ofi_trade_3_1: 0.00037162026435257723 , std 0.019273872541129347 
2023-05-09 14:03:33,511 INFO used_ofi_trade_4_1: 0.0003314451006387851 , std 0.018202616426877972 
2023-05-09 14:03:33,511 INFO used_ofi_trade_5_1: 0.00029126993692499297 , std 0.017064146587182045 
2023-05-09 14:03:33,511 INFO used_ofi_trade_6_1: 0.00017576634124784058 , std 0.013256524712047458 
2023-05-09 14:03:33,511 INFO used_ofi_trade_7_1: 0.00020087581856896068 , std 0.014171643076033028 
