2023-05-09 09:47:25,376 INFO Starting...
2023-05-09 09:47:25,376 INFO Tickers: ['QCOM']
2023-05-09 09:48:47,125 INFO used_ofi_cancel_6_2: 0.006535052266717815 , std 0.08057509142774259 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_7_2: 0.006274746201586497 , std 0.07896438286779789 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_8_2: 0.0053750919063080835 , std 0.07311771531788192 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_9_2: 0.0057175998867440275 , std 0.07539833511609613 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_10_2: 0.006338681024601206 , std 0.07936310318699469 
2023-05-09 09:48:47,125 INFO used_ofi_trade_1_2: 0.0007124165993067638 , std 0.026681624049067855 
2023-05-09 09:48:47,125 INFO used_ofi_trade_2_2: 0.006466550670630625 , std 0.08015444088168035 
2023-05-09 09:48:47,125 INFO used_ofi_trade_3_2: 0.007233768546807141 , std 0.08474338404511803 
2023-05-09 09:48:47,125 INFO used_ofi_trade_4_2: 0.008224758303535138 , std 0.09031672964840771 
2023-05-09 09:48:47,125 INFO used_ofi_trade_5_2: 0.0057175998867440275 , std 0.07539833511609612 
2023-05-09 09:48:47,125 INFO used_ofi_trade_6_2: 0.004991482968219827 , std 0.07047388215500687 
2023-05-09 09:48:47,125 INFO used_ofi_trade_7_2: 0.004489137930247108 , std 0.06685047173274342 
2023-05-09 09:48:47,125 INFO used_ofi_trade_8_2: 0.0031967411507354787 , std 0.056449286946343914 
2023-05-09 09:48:47,125 INFO used_ofi_trade_9_2: 0.0034981481735191096 , std 0.05904160510076953 
2023-05-09 09:48:47,125 INFO used_ofi_trade_10_2: 0.004639841441638924 , std 0.06795817326146557 
2023-05-09 09:48:47,125 INFO used_ofi_add_1_3: 0.12892913738223433 , std 0.3351214927695735 
2023-05-09 09:48:47,125 INFO used_ofi_add_2_3: 0.06258762495832819 , std 0.24221976418204164 
2023-05-09 09:48:47,125 INFO used_ofi_add_3_3: 0.04392322341110548 , std 0.20492431250655352 
2023-05-09 09:48:47,125 INFO used_ofi_add_4_3: 0.05079165011211428 , std 0.2195719890855909 
2023-05-09 09:48:47,125 INFO used_ofi_add_5_3: 0.04235225347417262 , std 0.20139150950283893 
2023-05-09 09:48:47,125 INFO used_ofi_add_6_3: 0.03745667274047485 , std 0.18987804087805368 
2023-05-09 09:48:47,125 INFO used_ofi_add_7_3: 0.03665748745279098 , std 0.18791944036325633 
2023-05-09 09:48:47,125 INFO used_ofi_add_8_3: 0.03411379485142004 , std 0.1815214693975764 
2023-05-09 09:48:47,125 INFO used_ofi_add_9_3: 0.03892717366981317 , std 0.1934214280267142 
2023-05-09 09:48:47,125 INFO used_ofi_add_10_3: 0.04775931279198806 , std 0.21325656105645402 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_1_3: 0.04695556073123171 , std 0.21154369772613724 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_2_3: 0.02822722436099428 , std 0.1656214000842535 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_3_3: 0.0207377165221283 , std 0.14250496003850585 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_4_3: 0.022783630858599007 , std 0.14921305915870137 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_5_3: 0.01729893639855142 , std 0.1303828332182972 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_6_3: 0.012558625949317953 , std 0.1113593591198471 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_7_3: 0.01159047005795235 , std 0.10703331753144936 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_8_3: 0.00963132440985875 , std 0.09766556199587861 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_9_3: 0.011147493069921863 , std 0.10499155427070267 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_10_3: 0.011700072611691852 , std 0.1075322319705724 
2023-05-09 09:48:47,125 INFO used_ofi_trade_1_3: 0.001589237029222781 , std 0.03983354559774622 
2023-05-09 09:48:47,125 INFO used_ofi_trade_2_3: 0.012517524991665639 , std 0.11117929915118492 
2023-05-09 09:48:47,125 INFO used_ofi_trade_3_3: 0.012421622757143575 , std 0.11075796154328045 
2023-05-09 09:48:47,125 INFO used_ofi_trade_4_3: 0.014618240605006097 , std 0.12001894703179262 
2023-05-09 09:48:47,125 INFO used_ofi_trade_5_3: 0.010814118635630877 , std 0.10342714089524749 
2023-05-09 09:48:47,125 INFO used_ofi_trade_6_3: 0.009795728240468003 , std 0.09848742025612661 
2023-05-09 09:48:47,125 INFO used_ofi_trade_7_3: 0.00858096660318852 , std 0.09223520811134694 
2023-05-09 09:48:47,125 INFO used_ofi_trade_8_3: 0.0077680809962872134 , std 0.087793723659054 
2023-05-09 09:48:47,125 INFO used_ofi_trade_9_3: 0.008147123161302991 , std 0.0898929782880596 
2023-05-09 09:48:47,125 INFO used_ofi_trade_10_3: 0.008731670114580337 , std 0.09303455299828381 
2023-05-09 09:48:47,825 INFO Grouping by horizont:
2023-05-09 09:48:47,825 INFO 1: 0.2807104072191548
2023-05-09 09:48:47,825 INFO 2: 0.44505486977846587
2023-05-09 09:48:47,825 INFO 3: 0.8111136989491853
2023-05-09 09:48:47,825 INFO Grouping by ofi type:
2023-05-09 09:48:47,825 INFO add: 1.0168559594105206
2023-05-09 09:48:47,825 INFO cancel: 0.3485589547569792
2023-05-09 09:48:47,825 INFO trade: 0.17146406177930615
2023-05-09 09:48:47,825 INFO Grouping by ofi type and horizont:
2023-05-09 09:48:47,825 INFO add_1: 0.1943846958300795
2023-05-09 09:48:47,825 INFO cancel_1: 0.05901640841564942
2023-05-09 09:48:47,825 INFO trade_1: 0.027309302973425948
2023-05-09 09:48:47,825 INFO add_2: 0.2989729327359994
2023-05-09 09:48:47,825 INFO cancel_2: 0.09691149137108228
2023-05-09 09:48:47,825 INFO trade_2: 0.04917044567138414
2023-05-09 09:48:47,825 INFO add_3: 0.523498330844442
2023-05-09 09:48:47,825 INFO cancel_3: 0.19263105497024746
2023-05-09 09:48:47,825 INFO trade_3: 0.09498431313449604
2023-05-09 09:48:47,826 INFO Grouping by level:
2023-05-09 09:48:47,826 INFO 1: 0.3631497947235503
2023-05-09 09:48:47,826 INFO 2: 0.20130792380795803
2023-05-09 09:48:47,826 INFO 3: 0.14485804185904197
2023-05-09 09:48:47,826 INFO 4: 0.1639608536212227
2023-05-09 09:48:47,826 INFO 5: 0.1297511565352806
2023-05-09 09:48:47,826 INFO 6: 0.11098628598046334
2023-05-09 09:48:47,826 INFO 7: 0.10388495385275812
2023-05-09 09:48:47,826 INFO 8: 0.09346357770136045
2023-05-09 09:48:47,826 INFO 9: 0.10380275193745347
2023-05-09 09:48:47,826 INFO 10: 0.12171363592771713
2023-05-09 09:48:47,826 INFO Grouping by level and horizont:
2023-05-09 09:48:47,826 INFO 1_1: 0.07889100482707913
2023-05-09 09:48:47,826 INFO 2_1: 0.03775807976325848
2023-05-09 09:48:47,826 INFO 3_1: 0.02507158416791111
2023-05-09 09:48:47,826 INFO 4_1: 0.028103921488037337
2023-05-09 09:48:47,826 INFO 5_1: 0.02160083663282688
2023-05-09 09:48:47,826 INFO 6_1: 0.0196371242116608
2023-05-09 09:48:47,826 INFO 7_1: 0.01682855877208606
2023-05-09 09:48:47,826 INFO 8_1: 0.01594260479602508
2023-05-09 09:48:47,826 INFO 9_1: 0.017015796468057703
2023-05-09 09:48:47,826 INFO 10_1: 0.019860896092212282
2023-05-09 09:48:47,826 INFO 1_2: 0.10678485475378244
2023-05-09 09:48:47,826 INFO 2_2: 0.06021746973371146
2023-05-09 09:48:47,826 INFO 3_2: 0.04270389500075352
2023-05-09 09:48:47,826 INFO 4_2: 0.04766341055746599
2023-05-09 09:48:47,826 INFO 5_2: 0.03768501139409882
2023-05-09 09:48:47,826 INFO 6_2: 0.03153813483854174
2023-05-09 09:48:47,826 INFO 7_2: 0.03022747096674019
2023-05-09 09:48:47,826 INFO 8_2: 0.026007772647769357
2023-05-09 09:48:47,826 INFO 9_2: 0.02856516556835774
2023-05-09 09:48:47,826 INFO 10_2: 0.03366168431724459
2023-05-09 09:48:47,826 INFO 1_3: 0.1774739351426888
2023-05-09 09:48:47,826 INFO 2_3: 0.1033323743109881
2023-05-09 09:48:47,826 INFO 3_3: 0.07708256269037736
2023-05-09 09:48:47,826 INFO 4_3: 0.08819352157571937
2023-05-09 09:48:47,826 INFO 5_3: 0.07046530850835492
2023-05-09 09:48:47,826 INFO 6_3: 0.05981102693026081
2023-05-09 09:48:47,826 INFO 7_3: 0.05682892411393185
2023-05-09 09:48:47,826 INFO 8_3: 0.051513200257566005
2023-05-09 09:48:47,826 INFO 9_3: 0.058221789901038025
2023-05-09 09:48:47,826 INFO 10_3: 0.06819105551826025
2023-05-09 09:48:47,838 INFO Non empty regressions: 0.4020632680741461 --- 88041 / 218973
