2023-05-09 10:34:37,286 INFO Starting...
2023-05-09 10:34:37,286 INFO Tickers: ['TGT']
2023-05-09 10:35:54,104 INFO used_ofi_cancel_9_3: 0.015097751777616419 , std 0.12194182903695477 
2023-05-09 10:35:54,104 INFO used_ofi_cancel_10_3: 0.019052577258383455 , std 0.13670982612159516 
2023-05-09 10:35:54,104 INFO used_ofi_trade_1_3: 0.0009224881606408096 , std 0.030358477831312413 
2023-05-09 10:35:54,104 INFO used_ofi_trade_2_3: 0.004306467007347938 , std 0.06548222162742008 
2023-05-09 10:35:54,104 INFO used_ofi_trade_3_3: 0.006489384535993022 , std 0.08029490908106837 
2023-05-09 10:35:54,104 INFO used_ofi_trade_4_3: 0.008987409406639175 , std 0.09437497485454832 
2023-05-09 10:35:54,104 INFO used_ofi_trade_5_3: 0.00980942855968544 , std 0.09855558670627387 
2023-05-09 10:35:54,104 INFO used_ofi_trade_6_3: 0.006836459289501445 , std 0.08239977010820135 
2023-05-09 10:35:54,104 INFO used_ofi_trade_7_3: 0.004260799276623145 , std 0.06513558832272472 
2023-05-09 10:35:54,104 INFO used_ofi_trade_8_3: 0.003018637000908788 , std 0.054859136263393116 
2023-05-09 10:35:54,104 INFO used_ofi_trade_9_3: 0.002662428701255406 , std 0.05152999296202297 
2023-05-09 10:35:54,104 INFO used_ofi_trade_10_3: 0.0024066894091965677 , std 0.04899895157331665 
2023-05-09 10:35:54,793 INFO Grouping by horizont:
2023-05-09 10:35:54,793 INFO 1: 0.2751161102053678
2023-05-09 10:35:54,793 INFO 2: 0.4399126832988541
2023-05-09 10:35:54,793 INFO 3: 0.8092550223086864
2023-05-09 10:35:54,793 INFO Grouping by ofi type:
2023-05-09 10:35:54,794 INFO add: 0.9827101971475936
2023-05-09 10:35:54,794 INFO cancel: 0.4497723463623369
2023-05-09 10:35:54,794 INFO trade: 0.09180127230297801
2023-05-09 10:35:54,794 INFO Grouping by ofi type and horizont:
2023-05-09 10:35:54,794 INFO add_1: 0.1823740826494591
2023-05-09 10:35:54,794 INFO cancel_1: 0.07728350070556644
2023-05-09 10:35:54,794 INFO trade_1: 0.015458526850342281
2023-05-09 10:35:54,794 INFO add_2: 0.2839391157813977
2023-05-09 10:35:54,794 INFO cancel_2: 0.12933101341261252
2023-05-09 10:35:54,794 INFO trade_2: 0.02664255410484398
2023-05-09 10:35:54,794 INFO add_3: 0.5163969987167366
2023-05-09 10:35:54,794 INFO cancel_3: 0.24315783224415793
2023-05-09 10:35:54,794 INFO trade_3: 0.049700191347791745
2023-05-09 10:35:54,794 INFO Grouping by level:
2023-05-09 10:35:54,794 INFO 1: 0.18462550177419132
2023-05-09 10:35:54,794 INFO 2: 0.14832878939412622
2023-05-09 10:35:54,794 INFO 3: 0.15958588501778756
2023-05-09 10:35:54,794 INFO 4: 0.19765907212304712
2023-05-09 10:35:54,794 INFO 5: 0.204509231731766
2023-05-09 10:35:54,794 INFO 6: 0.17458773456088192
2023-05-09 10:35:54,794 INFO 7: 0.12916660958200327
2023-05-09 10:35:54,794 INFO 8: 0.10449690144447032
2023-05-09 10:35:54,794 INFO 9: 0.09815822041986912
2023-05-09 10:35:54,794 INFO 10: 0.12316586976476553
2023-05-09 10:35:54,794 INFO Grouping by level and horizont:
2023-05-09 10:35:54,794 INFO 1_1: 0.038379160901115664
2023-05-09 10:35:54,794 INFO 2_1: 0.02705813045443959
2023-05-09 10:35:54,794 INFO 3_1: 0.027090097865946943
2023-05-09 10:35:54,794 INFO 4_1: 0.0357075986537153
2023-05-09 10:35:54,794 INFO 5_1: 0.038173656112854094
2023-05-09 10:35:54,794 INFO 6_1: 0.03293556739872039
2023-05-09 10:35:54,794 INFO 7_1: 0.02246852351659794
2023-05-09 10:35:54,794 INFO 8_1: 0.01846803030510611
2023-05-09 10:35:54,794 INFO 9_1: 0.0152119211044284
2023-05-09 10:35:54,794 INFO 10_1: 0.01962342389244336
2023-05-09 10:35:54,794 INFO 1_2: 0.0550798500271723
2023-05-09 10:35:54,794 INFO 2_2: 0.042886565923652684
2023-05-09 10:35:54,794 INFO 3_2: 0.046485183104766334
2023-05-09 10:35:54,794 INFO 4_2: 0.05757787489781845
2023-05-09 10:35:54,795 INFO 5_2: 0.05984299434176816
2023-05-09 10:35:54,795 INFO 6_2: 0.05035780667022875
2023-05-09 10:35:54,795 INFO 7_2: 0.03659811940284875
2023-05-09 10:35:54,795 INFO 8_2: 0.02928214894073699
2023-05-09 10:35:54,795 INFO 9_2: 0.028364227553168656
2023-05-09 10:35:54,795 INFO 10_2: 0.03343791243669311
2023-05-09 10:35:54,795 INFO 1_3: 0.09116649084590338
2023-05-09 10:35:54,795 INFO 2_3: 0.07838409301603394
2023-05-09 10:35:54,795 INFO 3_3: 0.08601060404707431
2023-05-09 10:35:54,795 INFO 4_3: 0.10437359857151338
2023-05-09 10:35:54,795 INFO 5_3: 0.10649258127714376
2023-05-09 10:35:54,795 INFO 6_3: 0.09129436049193279
2023-05-09 10:35:54,795 INFO 7_3: 0.07009996666255658
2023-05-09 10:35:54,795 INFO 8_3: 0.056746722198627225
2023-05-09 10:35:54,795 INFO 9_3: 0.05458207176227206
2023-05-09 10:35:54,795 INFO 10_3: 0.07010453343562904
2023-05-09 10:35:54,805 INFO Non empty regressions: 0.39635480173354704 --- 86791 / 218973
