2023-05-09 10:20:26,936 INFO Starting...
2023-05-09 10:20:26,936 INFO Tickers: ['CB']
2023-05-09 10:21:43,142 INFO used_ofi_trade_5_2: 0.0009499712268330335 , std 0.030806959952277384 
2023-05-09 10:21:43,142 INFO used_ofi_trade_6_2: 0.0012011655416206144 , std 0.03463701405956115 
2023-05-09 10:21:43,142 INFO used_ofi_trade_7_2: 0.001534568904884131 , std 0.039143505248767564 
2023-05-09 10:21:43,142 INFO used_ofi_trade_8_2: 0.001237702896498808 , std 0.03515922337081418 
2023-05-09 10:21:43,142 INFO used_ofi_trade_9_2: 0.001516300227445034 , std 0.038910166551497614 
2023-05-09 10:21:43,142 INFO used_ofi_trade_10_2: 0.0020323903650995186 , std 0.04503620493007119 
2023-05-09 10:21:43,142 INFO used_ofi_add_1_3: 0.03956538816372389 , std 0.19493580539033292 
2023-05-09 10:21:43,142 INFO used_ofi_add_2_3: 0.05142632699105748 , std 0.220865705539059 
2023-05-09 10:21:43,142 INFO used_ofi_add_3_3: 0.048165368068178706 , std 0.21411554214263748 
2023-05-09 10:21:43,142 INFO used_ofi_add_4_3: 0.04302273536907296 , std 0.202908303453643 
2023-05-09 10:21:43,142 INFO used_ofi_add_5_3: 0.03901732784055098 , std 0.19363619488291425 
2023-05-09 10:21:43,142 INFO used_ofi_add_6_3: 0.036683504297706365 , std 0.18798357590530754 
2023-05-09 10:21:43,142 INFO used_ofi_add_7_3: 0.03606236926477708 , std 0.18644536676406825 
2023-05-09 10:21:43,142 INFO used_ofi_add_8_3: 0.03824090904938937 , std 0.19177732380150084 
2023-05-09 10:21:43,142 INFO used_ofi_add_9_3: 0.044155393370296954 , std 0.20544024582980644 
2023-05-09 10:21:43,142 INFO used_ofi_add_10_3: 0.06811019666231263 , std 0.2519349078094057 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_1_3: 0.017012705865158892 , std 0.12931849714679058 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_2_3: 0.03198845419585849 , std 0.17596929560016414 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_3_3: 0.02642107474629374 , std 0.16038391925484455 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_4_3: 0.024804296792933677 , std 0.15552827284304846 
