2023-05-09 08:56:06,613 INFO Starting...
2023-05-09 08:56:06,613 INFO Tickers: ['HD']
2023-05-09 08:57:26,386 INFO 2_3: 0.06226795084325465
2023-05-09 08:57:26,386 INFO 3_3: 0.062121814104935315
2023-05-09 08:57:26,386 INFO 4_3: 0.07277609568302942
2023-05-09 08:57:26,386 INFO 5_3: 0.08533015485927489
2023-05-09 08:57:26,386 INFO 6_3: 0.09051800906961131
2023-05-09 08:57:26,386 INFO 7_3: 0.08837619249861856
2023-05-09 08:57:26,386 INFO 8_3: 0.0865631835888443
2023-05-09 08:57:26,386 INFO 9_3: 0.08520685198631794
2023-05-09 08:57:26,386 INFO 10_3: 0.10147826444356155
2023-05-09 08:57:26,397 INFO Non empty regressions: 0.385367145721162 --- 84385 / 218973
