2023-05-09 10:04:26,913 INFO Starting...
2023-05-09 10:04:26,913 INFO Tickers: ['GILD']
2023-05-09 10:05:47,513 INFO 8_2: 0.030949021112191916
2023-05-09 10:05:47,513 INFO 9_2: 0.031204760404250752
2023-05-09 10:05:47,513 INFO 10_2: 0.036799057418037844
2023-05-09 10:05:47,513 INFO 1_3: 0.08775054458768888
2023-05-09 10:05:47,513 INFO 2_3: 0.09414402688915985
2023-05-09 10:05:47,513 INFO 3_3: 0.09297036620953268
2023-05-09 10:05:47,513 INFO 4_3: 0.0992177117726843
2023-05-09 10:05:47,513 INFO 5_3: 0.10738766879934969
2023-05-09 10:05:47,513 INFO 6_3: 0.08362674850324013
2023-05-09 10:05:47,513 INFO 7_3: 0.06294840003105405
2023-05-09 10:05:47,513 INFO 8_3: 0.06079744991391633
2023-05-09 10:05:47,513 INFO 9_3: 0.060829417325423685
2023-05-09 10:05:47,513 INFO 10_3: 0.07967192302247308
2023-05-09 10:05:47,524 INFO Non empty regressions: 0.40215460353559573 --- 88061 / 218973
